iter	Passed	Remaining
399	34357	8589
400	34461	8507
401	34597	8434
402	34729	8359
403	34947	8304
404	35116	8237
405	35213	8152
406	35342	8075
407	35438	7990
408	35626	7926
409	35712	7839
410	35804	7753
411	35897	7667
412	35956	7574
413	36039	7486
414	36168	7408
415	36268	7323
416	36424	7249
417	36500	7160
418	36612	7077
419	36691	6988
420	36755	6897
421	36805	6802
422	36892	6715
423	36952	6623
424	37033	6535
425	37106	6445
426	37191	6358
427	37233	6263
428	37300	6173
429	37404	6089
430	37502	6003
431	37645	5925
432	37727	5837
433	37856	5756
434	38022	5681
435	38079	5589
436	38176	5503
437	38227	5411
438	38297	5321
439	38402	5236
440	38573	5160
441	38652	5072
442	38755	4986
443	38871	4902
444	38953	4814
445	39072	4730
446	39217	4649
447	39352	4567
448	39567	4494
449	39631	4403
450	39718	4315
451	39819	4228
452	39889	4138
453	39993	4052
454	40093	3965
455	40167	3875
456	40216	3784
457	40290	3694
458	40331	3602
459	40369	3510
460	40404	3418
461	40458	3327
462	40558	3241
463	40630	3152
464	40698	3063
465	40797	2976
466	40856	2887
467	40922	2798
468	40977	2708
469	41069	2621
470	41180	2535
471	41283	2449
472	41425	2364
473	41509	2276
474	41584	2188
475	41664	2100
476	41766	2013
477	41852	1926
478	41920	1837
479	41976	1749
480	42057	1661
481	42116	1572
482	42244	1486
483	42328	1399
484	42420	1311
485	42555	1225
486	42651	1138
487	42722	1050
488	42784	962
489	42857	874
490	42926	786
491	43013	699
492	43104	612
493	43188	524
494	43257	436
495	43408	350
496	43502	262
497	43583	175
498	43701	87
499	43779	0
